species;stadium;category;type;application;param;mean;sd;min;max;bg
Honey Bee;adult;forager;acute;downwards;RUD_p;2.566487;1.386;;;
Honey Bee;adult;forager;acute;downwards;RUD_n;0.9074518;1.153;;;
Honey Bee;adult;forager;acute;downwards;CONS_p;0;0;;;
Honey Bee;adult;forager;acute;downwards;CONS_s;;;80;128;
Honey Bee;adult;forager;acute;downwards;CNT_s;;;;;0.15
Honey Bee;adult;forager;chronic;downwards;RUD_p;2.566487;1.386;;;
Honey Bee;adult;forager;chronic;downwards;RUD_n;0.9074518;1.153;;;
Honey Bee;adult;forager;chronic;downwards;CONS_p;0;0;;;
Honey Bee;adult;forager;chronic;downwards;CONS_s;;;32;128;
Honey Bee;adult;forager;chronic;downwards;CNT_s;;;;;0.15
Honey Bee;adult;nurse;none;downwards;RUD_p;2.566487;1.386;;;
Honey Bee;adult;nurse;none;downwards;RUD_n;0.9074518;1.153;;;
Honey Bee;adult;nurse;none;downwards;CONS_p;;;;;12
Honey Bee;adult;nurse;none;downwards;CONS_s;;;34;50;
Honey Bee;adult;nurse;none;downwards;CNT_s;;;;;0.15
Honey Bee;larvae;none;none;downwards;RUD_p;2.566487;1.386;;;
Honey Bee;larvae;none;none;downwards;RUD_n;0.9074518;1.153;;;
Honey Bee;larvae;none;none;downwards;CONS_p;;;;;2
Honey Bee;larvae;none;none;downwards;CONS_s;;;;;59.4
Honey Bee;larvae;none;none;downwards;CNT_s;;;;;0.15
Bumble Bee;adult;none;acute;downwards;RUD_p;2.566487;1.386;;;
Bumble Bee;adult;none;acute;downwards;RUD_n;0.9074518;1.153;;;
Bumble Bee;adult;none;acute;downwards;CONS_p;;;;;30.3
Bumble Bee;adult;none;acute;downwards;CONS_s;;;111;149;
Bumble Bee;adult;none;acute;downwards;CNT_s;;;;;0.15
Bumble Bee;adult;none;chronic;downwards;RUD_p;2.566487;1.386;;;
Bumble Bee;adult;none;chronic;downwards;RUD_n;0.9074518;1.153;;;
Bumble Bee;adult;none;chronic;downwards;CONS_p;;;;;30.3
Bumble Bee;adult;none;chronic;downwards;CONS_s;;;73;149;
Bumble Bee;adult;none;chronic;downwards;CNT_s;;;;;0.15
Bumble Bee;larvae;none;none;downwards;RUD_p;2.566487;1.386;;;
Bumble Bee;larvae;none;none;downwards;RUD_n;0.9074518;1.153;;;
Bumble Bee;larvae;none;none;downwards;CONS_p;;;;;39.5
Bumble Bee;larvae;none;none;downwards;CONS_s;;;;;23.8
Bumble Bee;larvae;none;none;downwards;CNT_s;;;;;0.15
Solitary Bee;adult;none;none;downwards;RUD_p;2.566487;1.386;;;
Solitary Bee;adult;none;none;downwards;RUD_n;0.9074518;1.153;;;
Solitary Bee;adult;none;none;downwards;CONS_p;;;;;10.2
Solitary Bee;adult;none;none;downwards;CONS_s;;;18;77;
Solitary Bee;adult;none;none;downwards;CNT_s;;;;;0.1
Solitary Bee;larvae;none;none;downwards;RUD_p;2.566487;1.386;;;
Solitary Bee;larvae;none;none;downwards;RUD_n;0.9074518;1.153;;;
Solitary Bee;larvae;none;none;downwards;CONS_p;;;;;387
Solitary Bee;larvae;none;none;downwards;CONS_s;;;;;54
Solitary Bee;larvae;none;none;downwards;CNT_s;;;;;0.1
Honey Bee;adult;forager;acute;up/sidewards;RUD_p;0.1655144;1.127;;;
Honey Bee;adult;forager;acute;up/sidewards;RUD_n;1.390784;1.044;;;
Honey Bee;adult;forager;acute;up/sidewards;CONS_p;0;0;;;
Honey Bee;adult;forager;acute;up/sidewards;CONS_s;;;80;128;
Honey Bee;adult;forager;acute;up/sidewards;CNT_s;;;;;0.15
Honey Bee;adult;forager;chronic;up/sidewards;RUD_p;0.1655144;1.127;;;
Honey Bee;adult;forager;chronic;up/sidewards;RUD_n;1.390784;1.044;;;
Honey Bee;adult;forager;chronic;up/sidewards;CONS_p;0;0;;;
Honey Bee;adult;forager;chronic;up/sidewards;CONS_s;;;32;128;
Honey Bee;adult;forager;chronic;up/sidewards;CNT_s;;;;;0.15
Honey Bee;adult;nurse;none;up/sidewards;RUD_p;0.1655144;1.127;;;
Honey Bee;adult;nurse;none;up/sidewards;RUD_n;1.390784;1.044;;;
Honey Bee;adult;nurse;none;up/sidewards;CONS_p;;;;;12
Honey Bee;adult;nurse;none;up/sidewards;CONS_s;;;34;50;
Honey Bee;adult;nurse;none;up/sidewards;CNT_s;;;;;0.15
Honey Bee;larvae;none;none;up/sidewards;RUD_p;0.1655144;1.127;;;
Honey Bee;larvae;none;none;up/sidewards;RUD_n;1.390784;1.044;;;
Honey Bee;larvae;none;none;up/sidewards;CONS_p;;;;;2
Honey Bee;larvae;none;none;up/sidewards;CONS_s;;;;;59.4
Honey Bee;larvae;none;none;up/sidewards;CNT_s;;;;;0.15
Bumble Bee;adult;none;acute;up/sidewards;RUD_p;0.1655144;1.127;;;
Bumble Bee;adult;none;acute;up/sidewards;RUD_n;1.390784;1.044;;;
Bumble Bee;adult;none;acute;up/sidewards;CONS_p;;;;;30.3
Bumble Bee;adult;none;acute;up/sidewards;CONS_s;;;111;149;
Bumble Bee;adult;none;acute;up/sidewards;CNT_s;;;;;0.15
Bumble Bee;adult;none;chronic;up/sidewards;RUD_p;0.1655144;1.127;;;
Bumble Bee;adult;none;chronic;up/sidewards;RUD_n;1.390784;1.044;;;
Bumble Bee;adult;none;chronic;up/sidewards;CONS_p;;;;;30.3
Bumble Bee;adult;none;chronic;up/sidewards;CONS_s;;;73;149;
Bumble Bee;adult;none;chronic;up/sidewards;CNT_s;;;;;0.15
Bumble Bee;larvae;none;none;up/sidewards;RUD_p;0.1655144;1.127;;;
Bumble Bee;larvae;none;none;up/sidewards;RUD_n;1.390784;1.044;;;
Bumble Bee;larvae;none;none;up/sidewards;CONS_p;;;;;39.5
Bumble Bee;larvae;none;none;up/sidewards;CONS_s;;;;;23.8
Bumble Bee;larvae;none;none;up/sidewards;CNT_s;;;;;0.15
Solitary Bee;adult;none;none;up/sidewards;RUD_p;0.1655144;1.127;;;
Solitary Bee;adult;none;none;up/sidewards;RUD_n;1.390784;1.044;;;
Solitary Bee;adult;none;none;up/sidewards;CONS_p;;;;;10.2
Solitary Bee;adult;none;none;up/sidewards;CONS_s;;;18;77;
Solitary Bee;adult;none;none;up/sidewards;CNT_s;;;;;0.1
Solitary Bee;larvae;none;none;up/sidewards;RUD_p;0.1655144;1.127;;;
Solitary Bee;larvae;none;none;up/sidewards;RUD_n;1.390784;1.044;;;
Solitary Bee;larvae;none;none;up/sidewards;CONS_p;;;;;387
Solitary Bee;larvae;none;none;up/sidewards;CONS_s;;;;;54
Solitary Bee;larvae;none;none;up/sidewards;CNT_s;;;;;0.1
